Partner ID,Partner Type,Earnings (Value),Earnings (Stability Type),Perf. Rating (Avg),Time on Platform (Months),Order/Trip Volume,Financial Activity (Score),Earnings Volatility,On-Time Loan Repayments,Operational Anomaly Score,Creditworthy
00066,Driver,1207,Seasonal,4.4,20,301,0.37,0.49,9,0.18,0
00067,Driver,1396,Stable,4.5,14,441,0.36,0.4,5,0.13,0
00068,Driver,2291,Stable,5.0,43,542,0.9,0.1,15,0.1,1
00069,Driver,2132,Stable,4.4,13,534,0.63,0.1,13,0.05,1
00070,Driver,1216,Variable,4.0,12,314,0.4,0.31,9,0.39,0
00071,Driver,1267,Stable,4.6,33,337,0.57,0.21,13,0.18,1
00072,Driver,1345,Stable,4.4,27,416,0.41,0.44,7,0.28,0
00073,Driver,1474,Stable,4.1,11,333,0.38,0.25,9,0.16,0
00074,Driver,1574,Stable,4.8,37,428,0.61,0.27,14,0.0,1
00075,Merchant,1512,Stable,4.8,28,412,0.58,0.29,9,0.23,1
00076,Driver,1102,Stable,4.8,33,338,0.41,0.48,8,0.02,1
00077,Driver,2031,Stable,4.6,44,537,0.76,0.15,13,0.26,1
00078,Driver,2344,Stable,4.1,5,493,0.52,0.1,9,0.28,0
00079,Merchant,1805,Stable,4.5,44,495,0.69,0.1,12,0.16,1
00080,Driver,1571,Stable,4.5,31,402,0.57,0.3,10,0.13,1
00081,Driver,1018,Stable,4.9,41,265,0.58,0.53,12,0.05,1
00082,Driver,1617,Seasonal,4.7,32,486,0.54,0.23,9,0.0,1
00083,Driver,1625,Stable,4.5,3,441,0.42,0.17,10,0.22,0
00084,Driver,1266,Variable,4.6,46,381,0.66,0.21,14,0.1,1
00085,Driver,2427,Variable,4.3,33,611,0.71,0.1,14,0.07,1
00086,Driver,2350,Seasonal,4.2,13,475,0.56,0.1,10,0.11,0
00087,Driver,1022,Variable,4.4,12,323,0.28,0.45,5,0.02,0
00088,Merchant,1504,Stable,4.5,35,436,0.63,0.15,14,0.05,1
00089,Driver,1790,Stable,4.0,13,510,0.58,0.27,12,0.23,0
00090,Driver,1676,Variable,4.6,43,450,0.73,0.1,13,0.26,1
00091,Merchant,1159,Seasonal,4.7,36,320,0.53,0.32,11,0.05,1
00092,Driver,2193,Stable,4.1,11,458,0.69,0.1,15,0.17,0
00093,Driver,2285,Stable,4.7,35,504,0.72,0.1,13,0.22,1
00094,Driver,2075,Stable,4.0,14,527,0.63,0.1,14,0.11,0
00095,Merchant,1612,Stable,4.4,32,479,0.51,0.22,12,0.24,0
00096,Merchant,1388,Stable,4.7,38,352,0.49,0.42,7,0.0,1
00097,Driver,1314,Stable,4.9,46,321,0.62,0.26,11,0.06,1
00098,Merchant,1046,Seasonal,4.5,22,317,0.45,0.41,8,0.18,0
00099,Driver,1701,Stable,4.4,19,413,0.62,0.1,14,0.15,1
00100,Merchant,1338,Seasonal,4.5,24,399,0.51,0.41,8,0.24,0
00101,Merchant,1029,Stable,4.9,37,298,0.41,0.34,6,0.05,1
00102,Driver,1343,Seasonal,4.0,5,319,0.39,0.29,5,0.32,0
00103,Merchant,831,Stable,4.4,24,279,0.42,0.4,7,0.31,0
00104,Merchant,1565,Stable,4.2,8,343,0.48,0.29,8,0.13,0
00105,Merchant,902,Variable,4.4,19,250,0.33,0.35,8,0.09,0
00106,Merchant,1283,Stable,4.7,41,367,0.62,0.33,10,0.17,1
00107,Driver,1047,Seasonal,4.3,8,346,0.33,0.42,8,0.18,0
00108,Merchant,1740,Stable,4.0,17,470,0.46,0.28,9,0.26,0
00109,Driver,2323,Seasonal,4.7,47,590,0.89,0.1,15,0.23,1
00110,Merchant,983,Stable,5.0,35,284,0.53,0.52,12,0.08,1
00111,Merchant,1831,Seasonal,4.8,40,377,0.62,0.17,13,0.06,1
00112,Driver,2443,Variable,4.2,8,481,0.7,0.1,12,0.09,1
00113,Driver,2231,Stable,4.2,2,570,0.55,0.1,13,0.34,0
00114,Driver,2384,Stable,4.4,18,465,0.66,0.1,13,0.15,1
00115,Driver,1100,Seasonal,4.3,18,328,0.29,0.45,6,0.22,0
00116,Merchant,1470,Stable,4.3,1,429,0.29,0.38,4,0.18,0
00117,Driver,2433,Variable,4.8,46,655,0.9,0.1,15,0.0,1
00118,Merchant,1722,Stable,4.5,10,374,0.5,0.1,9,0.27,0
00119,Driver,1934,Stable,4.3,36,502,0.63,0.21,12,0.15,1
00120,Merchant,1082,Variable,4.3,21,305,0.37,0.41,6,0.23,0
00121,Driver,1409,Stable,4.0,16,390,0.4,0.2,9,0.2,0
00122,Driver,1846,Variable,4.1,2,421,0.37,0.16,8,0.27,0
00123,Merchant,1120,Stable,4.2,13,331,0.28,0.42,7,0.17,0
00124,Driver,1174,Variable,4.8,34,382,0.53,0.27,9,0.18,1
00125,Merchant,1450,Stable,4.9,38,343,0.49,0.41,8,0.0,1
00126,Driver,1009,Stable,4.0,1,275,0.18,0.47,5,0.2,0
00127,Driver,1897,Seasonal,4.3,19,481,0.51,0.16,11,0.31,0
00128,Merchant,1468,Seasonal,4.3,18,349,0.48,0.26,7,0.3,0
00129,Driver,2401,Variable,3.8,1,483,0.64,0.1,14,0.31,0
00130,Merchant,1151,Stable,4.2,13,361,0.38,0.52,7,0.28,0
00131,Merchant,1623,Stable,4.3,11,454,0.55,0.13,10,0.27,0
00132,Merchant,971,Variable,5.0,46,257,0.49,0.61,9,0.14,1
00133,Driver,2310,Stable,5.0,42,466,0.9,0.1,15,0.0,1
00134,Driver,1962,Stable,4.3,9,528,0.62,0.1,14,0.11,1
00135,Driver,2003,Stable,4.4,10,428,0.51,0.11,12,0.17,0
00136,Driver,2126,Seasonal,4.5,39,605,0.84,0.1,15,0.02,1
00137,Driver,2151,Seasonal,4.5,23,462,0.75,0.1,15,0.21,1
00138,Merchant,1755,Variable,4.2,2,488,0.38,0.14,8,0.29,0
00139,Driver,2151,Stable,4.9,45,458,0.89,0.1,15,0.0,1
00140,Driver,2120,Stable,4.0,16,470,0.65,0.1,11,0.21,0
00141,Merchant,1759,Variable,4.2,21,455,0.56,0.17,9,0.27,0
00142,Driver,1252,Seasonal,4.1,16,383,0.35,0.47,6,0.26,0
00143,Driver,1278,Seasonal,4.3,23,400,0.36,0.44,9,0.33,0
00144,Driver,1585,Stable,4.2,12,454,0.45,0.32,11,0.17,0
00145,Driver,1205,Stable,4.3,26,337,0.37,0.41,5,0.24,0
00146,Driver,1847,Variable,4.3,9,377,0.45,0.25,8,0.18,0
00147,Driver,2128,Stable,4.9,33,532,0.8,0.14,14,0.05,1
00148,Driver,2492,Variable,4.6,32,585,0.7,0.1,13,0.19,1
00149,Driver,2091,Stable,4.0,8,559,0.5,0.1,11,0.36,0
00150,Driver,1770,Stable,4.7,25,473,0.52,0.27,8,0.05,1
00151,Driver,1288,Seasonal,4.5,33,341,0.52,0.43,8,0.03,1
00152,Merchant,1052,Stable,4.6,5,358,0.38,0.33,6,0.24,0
00153,Merchant,1437,Stable,4.2,9,368,0.49,0.41,11,0.17,0
00154,Driver,1834,Variable,4.9,38,493,0.7,0.15,12,0.07,1
00155,Merchant,1983,Stable,4.9,25,462,0.68,0.1,12,0.09,1
00156,Merchant,1268,Stable,4.3,9,364,0.43,0.47,6,0.22,0
00157,Driver,1792,Variable,4.2,5,502,0.42,0.23,6,0.07,0
00158,Driver,1811,Variable,4.8,47,377,0.68,0.1,12,0.17,1
00159,Driver,2216,Stable,4.1,4,635,0.59,0.1,13,0.36,0
00160,Driver,1520,Seasonal,4.9,47,461,0.72,0.1,13,0.04,1
00161,Driver,2185,Stable,4.3,16,507,0.53,0.1,11,0.15,0
00162,Driver,1427,Stable,4.3,24,397,0.55,0.41,11,0.04,0
00163,Driver,1537,Stable,4.8,34,331,0.62,0.19,10,0.0,1
00164,Driver,2022,Seasonal,4.1,2,449,0.4,0.1,8,0.28,0
00165,Driver,2304,Stable,4.3,14,501,0.73,0.1,15,0.14,1
00166,Merchant,1697,Seasonal,4.5,21,399,0.47,0.1,11,0.28,0
00167,Driver,1771,Stable,4.2,34,401,0.63,0.26,13,0.1,1
00168,Driver,1731,Stable,4.4,19,487,0.51,0.1,8,0.14,0
00169,Driver,2129,Stable,4.8,46,582,0.87,0.1,15,0.11,1
00170,Driver,2491,Seasonal,4.8,42,626,0.93,0.1,15,0.24,1
00171,Driver,1467,Seasonal,4.4,19,321,0.54,0.14,11,0.13,0
00172,Driver,2016,Variable,4.4,7,479,0.44,0.1,7,0.27,0
00173,Driver,1618,Stable,5.0,46,349,0.65,0.1,13,0.0,1
00174,Driver,1246,Stable,4.7,47,290,0.51,0.5,11,0.25,1
00175,Driver,2306,Seasonal,4.7,39,571,0.75,0.1,15,0.04,1
00176,Merchant,1140,Stable,4.8,34,356,0.47,0.38,10,0.02,1
00177,Driver,2110,Stable,4.7,24,500,0.75,0.11,13,0.0,1
00178,Merchant,1172,Stable,4.1,5,334,0.4,0.35,9,0.15,0
00179,Driver,1069,Seasonal,4.1,9,313,0.34,0.29,8,0.19,0
00180,Merchant,1885,Stable,4.6,39,477,0.6,0.15,13,0.18,1
00181,Driver,1253,Stable,4.2,13,291,0.44,0.38,9,0.29,0
00182,Driver,2259,Stable,4.6,28,628,0.81,0.1,15,0.02,1
00183,Driver,1460,Stable,4.2,4,414,0.28,0.18,7,0.22,0
00184,Driver,2183,Variable,4.3,20,590,0.7,0.1,15,0.11,1
00185,Merchant,1016,Stable,3.9,5,338,0.28,0.43,4,0.37,0
00186,Merchant,1230,Stable,4.1,21,291,0.39,0.36,5,0.38,0
00187,Merchant,836,Stable,4.3,27,267,0.44,0.51,7,0.24,0
00188,Driver,2025,Seasonal,4.0,11,478,0.59,0.1,11,0.32,0
00189,Driver,1549,Variable,4.7,39,369,0.67,0.27,15,0.14,1
00190,Driver,2452,Variable,4.2,29,584,0.72,0.1,15,0.28,1
00191,Driver,1748,Seasonal,4.3,18,482,0.57,0.1,10,0.29,0
00192,Driver,1608,Seasonal,4.4,41,391,0.6,0.1,10,0.05,1
00193,Driver,2339,Stable,4.1,26,452,0.69,0.1,14,0.23,1
00194,Merchant,1823,Variable,4.6,39,473,0.72,0.25,12,0.04,1
00195,Merchant,925,Seasonal,4.5,4,297,0.26,0.41,4,0.04,0
00196,Merchant,1871,Variable,4.6,31,475,0.63,0.21,10,0.0,1
00197,Merchant,1220,Stable,5.0,37,305,0.57,0.47,9,0.13,1
00198,Driver,1706,Stable,4.7,35,378,0.59,0.21,10,0.14,1
00199,Merchant,1015,Seasonal,4.3,1,269,0.28,0.57,5,0.26,0
00200,Driver,1290,Stable,4.5,34,409,0.57,0.31,13,0.3,1
00201,Merchant,980,Stable,4.5,40,265,0.47,0.5,7,0.11,0
00202,Driver,1749,Stable,4.5,45,519,0.72,0.18,15,0.23,1
00203,Driver,2391,Stable,4.6,31,599,0.74,0.1,14,0.17,1
00204,Merchant,1989,Seasonal,4.2,8,530,0.44,0.2,10,0.21,0
00205,Merchant,829,Stable,4.3,19,242,0.3,0.55,8,0.09,0
00206,Driver,2415,Stable,4.7,41,503,0.88,0.1,15,0.0,1
00207,Driver,1438,Variable,4.5,17,416,0.37,0.22,6,0.18,0
00208,Driver,1359,Stable,4.6,28,400,0.45,0.18,8,0.0,1
00209,Driver,1584,Stable,3.8,5,386,0.32,0.13,5,0.43,0
00210,Driver,1041,Variable,3.8,1,271,0.3,0.39,4,0.38,0
00211,Driver,2389,Stable,4.8,47,605,0.89,0.1,15,0.17,1
00212,Driver,1176,Seasonal,4.7,31,303,0.52,0.27,8,0.23,1
00213,Merchant,1474,Stable,4.9,40,464,0.69,0.35,15,0.04,1
00214,Driver,1484,Stable,4.0,2,353,0.42,0.11,9,0.15,0
00215,Driver,2209,Stable,4.3,12,621,0.57,0.1,13,0.32,0
00216,Driver,1202,Stable,4.6,20,356,0.35,0.29,8,0.09,0
00217,Driver,2451,Seasonal,5.0,47,477,0.86,0.1,15,0.0,1
00218,Merchant,1730,Stable,4.1,21,480,0.6,0.23,14,0.19,0
00219,Driver,1611,Seasonal,3.8,3,383,0.37,0.35,5,0.4,0
00220,Driver,1370,Stable,4.2,37,324,0.55,0.17,10,0.08,0
00221,Driver,1709,Stable,4.6,43,475,0.62,0.1,10,0.03,1
00222,Driver,1769,Stable,4.5,18,385,0.47,0.29,11,0.09,0
00223,Merchant,1969,Stable,5.0,41,526,0.79,0.1,13,0.13,1
00224,Driver,1524,Stable,4.5,10,368,0.5,0.2,11,0.22,0
00225,Merchant,1015,Seasonal,4.6,42,281,0.52,0.3,11,0.0,1
00226,Merchant,1577,Seasonal,4.9,46,366,0.64,0.23,11,0.0,1
00227,Driver,1752,Variable,4.6,35,435,0.57,0.1,11,0.24,1
00228,Driver,1946,Stable,4.3,29,446,0.73,0.16,15,0.26,1
00229,Merchant,1067,Variable,4.7,22,277,0.43,0.36,10,0.0,1
00230,Driver,1115,Variable,4.1,10,365,0.31,0.37,4,0.33,0
00231,Merchant,1710,Variable,4.5,27,404,0.61,0.11,14,0.13,1
00232,Driver,1481,Variable,4.9,40,353,0.58,0.25,12,0.0,1
00233,Merchant,1291,Stable,4.6,41,291,0.6,0.19,14,0.19,1
00234,Driver,1553,Stable,4.8,41,371,0.71,0.32,15,0.0,1
00235,Driver,2087,Stable,4.5,40,548,0.79,0.1,13,0.14,1
00236,Driver,1552,Stable,4.7,22,476,0.42,0.21,9,0.01,1
00237,Driver,2338,Seasonal,4.5,23,642,0.71,0.1,12,0.09,1
00238,Driver,1500,Variable,4.6,28,407,0.57,0.3,11,0.1,1
00239,Driver,2407,Stable,4.4,18,618,0.78,0.1,15,0.32,1
00240,Driver,2299,Stable,4.9,47,627,0.83,0.1,15,0.15,1
00241,Driver,1529,Variable,4.1,15,434,0.56,0.26,9,0.31,0
00242,Merchant,1022,Stable,4.2,14,275,0.25,0.39,3,0.21,0
00243,Driver,1596,Stable,4.4,37,379,0.67,0.19,15,0.25,1
00244,Driver,1935,Seasonal,5.0,43,537,0.73,0.17,13,0.0,1
00245,Driver,2473,Stable,4.7,35,514,0.77,0.1,14,0.25,1
00246,Driver,2163,Seasonal,4.6,37,492,0.8,0.1,15,0.0,1
00247,Driver,1140,Stable,4.3,39,316,0.51,0.4,12,0.08,0
00248,Merchant,1678,Stable,4.6,42,414,0.7,0.29,14,0.21,1
00249,Merchant,1743,Stable,4.5,25,505,0.53,0.21,8,0.29,0
00250,Driver,1689,Seasonal,4.5,31,443,0.51,0.31,12,0.03,1
00251,Driver,2112,Stable,4.4,12,574,0.62,0.15,14,0.22,1
00252,Driver,1307,Seasonal,4.1,16,362,0.45,0.21,11,0.27,0
00253,Driver,2381,Variable,4.4,37,655,0.82,0.1,15,0.25,1
00254,Driver,2383,Stable,4.7,18,529,0.76,0.1,15,0.1,1
00255,Merchant,1244,Seasonal,4.7,42,387,0.6,0.33,12,0.11,1
00256,Driver,2155,Stable,4.0,12,464,0.66,0.13,13,0.3,0
00257,Driver,1163,Variable,4.5,20,289,0.38,0.29,8,0.07,0
00258,Merchant,1299,Stable,4.1,3,331,0.39,0.25,9,0.15,0
00259,Driver,2347,Stable,4.4,29,482,0.66,0.1,14,0.29,1
00260,Merchant,1924,Variable,4.4,28,444,0.71,0.1,13,0.31,1
00261,Merchant,820,Stable,4.2,7,248,0.17,0.6,1,0.32,0
00262,Driver,1022,Stable,4.9,38,328,0.57,0.55,13,0.15,1
00263,Driver,1277,Stable,4.3,30,387,0.44,0.3,8,0.27,0
00264,Merchant,857,Stable,4.9,33,264,0.44,0.63,8,0.12,1
00265,Driver,1920,Seasonal,4.2,6,483,0.46,0.14,9,0.21,0
00266,Driver,1998,Variable,4.7,44,479,0.76,0.19,13,0.07,1
00267,Driver,2133,Stable,4.4,32,508,0.81,0.1,14,0.05,1
00268,Driver,1727,Seasonal,4.7,40,426,0.74,0.1,12,0.03,1
00269,Merchant,1871,Stable,4.8,30,555,0.69,0.1,11,0.24,1
00270,Driver,2092,Variable,4.6,8,423,0.47,0.1,8,0.06,1
00271,Driver,2450,Stable,3.9,13,537,0.62,0.1,11,0.15,0
00272,Merchant,1206,Variable,4.9,42,354,0.49,0.48,10,0.03,1
00273,Merchant,1093,Stable,3.9,2,306,0.29,0.43,5,0.34,0
00274,Driver,1037,Seasonal,4.4,26,346,0.39,0.48,9,0.1,0
00275,Driver,1126,Stable,4.0,9,359,0.3,0.47,5,0.21,0
00276,Driver,1579,Seasonal,4.0,5,353,0.37,0.12,6,0.15,0
00277,Merchant,1501,Variable,4.5,31,382,0.61,0.32,14,0.0,1
00278,Driver,1609,Seasonal,4.1,8,381,0.42,0.25,9,0.33,0
00279,Driver,2234,Stable,4.5,25,535,0.71,0.1,14,0.26,1
00280,Driver,1429,Stable,4.0,11,405,0.38,0.27,5,0.19,0
00281,Driver,1435,Stable,4.7,34,388,0.55,0.39,13,0.25,1
00282,Driver,1756,Seasonal,4.8,41,368,0.61,0.1,11,0.0,1
00283,Merchant,893,Stable,4.6,26,242,0.37,0.37,9,0.11,0
00284,Merchant,1946,Seasonal,4.0,11,423,0.52,0.11,12,0.13,0
00285,Merchant,1569,Stable,4.6,26,418,0.56,0.26,10,0.02,1
00286,Driver,2132,Variable,4.8,46,477,0.82,0.1,14,0.23,1
00287,Merchant,1189,Stable,4.4,16,340,0.3,0.39,8,0.24,0
00288,Driver,1183,Stable,4.8,36,319,0.45,0.45,10,0.03,1
00289,Driver,1138,Seasonal,4.3,21,380,0.36,0.35,6,0.29,0
00290,Merchant,800,Stable,4.6,28,272,0.28,0.64,3,0.01,0
00291,Merchant,1148,Stable,4.2,15,305,0.32,0.44,6,0.3,0
00292,Driver,1138,Stable,4.5,29,355,0.42,0.5,10,0.03,0
00293,Driver,1648,Variable,4.9,33,449,0.55,0.12,10,0.13,1
00294,Merchant,1730,Stable,4.0,2,416,0.34,0.21,5,0.17,0
00295,Driver,2493,Stable,4.3,23,501,0.7,0.1,13,0.17,1
00296,Driver,1113,Stable,4.9,43,312,0.45,0.35,8,0.0,1
00297,Driver,1747,Seasonal,4.7,45,464,0.71,0.11,15,0.04,1
00298,Driver,1590,Stable,4.7,37,405,0.66,0.33,15,0.23,1
00299,Merchant,1457,Stable,4.6,32,439,0.59,0.19,9,0.21,1
00300,Driver,2397,Stable,4.5,15,613,0.66,0.1,14,0.3,1
00301,Driver,1220,Stable,4.2,31,349,0.39,0.37,9,0.13,0
00302,Merchant,1729,Stable,4.1,8,481,0.46,0.1,8,0.23,0
00303,Merchant,1227,Seasonal,4.6,24,318,0.54,0.5,10,0.02,1
00304,Driver,2371,Seasonal,5.0,44,465,0.91,0.1,15,0.03,1
00305,Merchant,1856,Seasonal,4.7,44,399,0.74,0.12,13,0.2,1
00306,Driver,1625,Variable,5.0,40,394,0.57,0.22,9,0.02,1
00307,Driver,1707,Variable,4.5,24,395,0.52,0.1,10,0.03,1
00308,Merchant,1829,Stable,4.1,2,549,0.43,0.11,9,0.22,0
00309,Merchant,1777,Variable,4.3,21,463,0.55,0.17,10,0.1,0
00310,Driver,1854,Variable,4.6,36,544,0.67,0.16,15,0.23,1
00311,Driver,1291,Stable,4.3,7,304,0.35,0.32,5,0.05,0
00312,Merchant,1382,Stable,4.4,16,336,0.48,0.4,11,0.19,0
00313,Driver,1129,Seasonal,4.1,12,361,0.42,0.54,9,0.15,0
00314,Merchant,1721,Stable,4.7,37,379,0.58,0.11,12,0.18,1
00315,Driver,1859,Variable,3.9,4,443,0.51,0.1,9,0.32,0
00316,Driver,1909,Stable,4.1,8,508,0.58,0.22,12,0.31,0
00317,Merchant,1815,Stable,4.6,29,392,0.68,0.1,14,0.2,1
00318,Driver,1781,Stable,4.4,11,388,0.47,0.23,10,0.3,0
00319,Merchant,1270,Stable,4.4,16,297,0.48,0.42,10,0.1,0
00320,Driver,1196,Seasonal,4.5,29,289,0.53,0.38,10,0.26,0
00321,Driver,1574,Stable,4.5,22,436,0.6,0.21,13,0.06,1
00322,Driver,1141,Seasonal,4.9,40,346,0.5,0.43,12,0.06,1
00323,Merchant,1686,Stable,4.4,28,426,0.54,0.1,12,0.22,1
00324,Driver,2297,Seasonal,4.5,14,616,0.64,0.1,11,0.03,1
00325,Driver,1341,Stable,3.9,5,323,0.45,0.23,11,0.24,0
00326,Driver,2349,Variable,4.4,23,593,0.62,0.1,13,0.25,1
00327,Merchant,1857,Stable,4.7,19,513,0.48,0.1,10,0.02,1
00328,Merchant,1391,Stable,4.8,46,374,0.71,0.43,12,0.0,1
00329,Driver,1736,Stable,4.5,5,508,0.4,0.1,6,0.14,0
00330,Driver,2197,Seasonal,4.6,34,457,0.65,0.1,12,0.09,1
00331,Merchant,1183,Variable,4.4,2,371,0.36,0.45,5,0.02,0
00332,Driver,1120,Stable,4.0,5,333,0.28,0.54,3,0.23,0
00333,Driver,1727,Seasonal,4.7,42,509,0.67,0.28,13,0.03,1
00334,Driver,1422,Seasonal,4.6,34,388,0.53,0.27,10,0.02,1
00335,Driver,1777,Stable,4.4,25,439,0.56,0.12,11,0.32,0
00336,Driver,1939,Stable,4.2,16,468,0.58,0.1,9,0.18,0
00337,Merchant,1944,Stable,4.8,47,404,0.75,0.1,15,0.11,1
00338,Merchant,1027,Seasonal,4.6,26,330,0.31,0.32,5,0.03,0
00339,Driver,2179,Stable,4.6,46,437,0.74,0.1,15,0.28,1
00340,Driver,1852,Stable,4.8,33,483,0.66,0.17,14,0.15,1
00341,Merchant,1341,Variable,4.5,34,384,0.56,0.28,12,0.26,1
00342,Driver,1900,Variable,5.0,45,430,0.8,0.22,15,0.0,1
00343,Merchant,1155,Stable,4.4,15,291,0.32,0.35,8,0.31,0
00344,Merchant,1074,Stable,3.6,3,335,0.35,0.53,6,0.3,0
00345,Driver,1287,Stable,4.6,35,304,0.58,0.43,9,0.21,1
00346,Merchant,1835,Stable,4.7,42,530,0.7,0.1,14,0.09,1
00347,Driver,1275,Seasonal,4.9,42,339,0.59,0.35,12,0.02,1
00348,Merchant,954,Stable,4.9,45,246,0.61,0.41,12,0.15,1
00349,Driver,1876,Variable,4.6,30,389,0.59,0.22,12,0.15,1
00350,Merchant,1400,Stable,4.5,17,329,0.46,0.23,8,0.28,0
00351,Merchant,1643,Variable,4.3,17,453,0.58,0.14,12,0.32,0
00352,Merchant,1468,Variable,4.5,43,366,0.61,0.33,10,0.14,1
00353,Merchant,1761,Seasonal,4.3,19,419,0.53,0.29,9,0.19,0
00354,Driver,2350,Seasonal,4.1,3,644,0.49,0.1,10,0.37,0
00355,Merchant,1114,Stable,4.6,32,374,0.54,0.42,10,0.12,1
